Ticker,INDUSTRY_SECTOR,PE_RATIO
A UN Equity,Industrial,20.42462143
AA UN Equity,Basic Materials,16.91208294
AAPL UW Equity,Technology,17.2614556
ABBV UN Equity,"Consumer, Non-cyclical",20.06896232
ABC UN Equity,"Consumer, Non-cyclical",567.8714013
ABT UN Equity,"Consumer, Non-cyclical",31.48161734
ACE UN Equity,Financial,11.51224487
ACN UN Equity,Technology,19.63304675
ACT UN Equity,"Consumer, Non-cyclical",105.0878172
ADBE UW Equity,Technology,151.4352054
ADI UW Equity,Technology,23.5468434
ADM UN Equity,"Consumer, Non-cyclical",11.10879835
ADP UW Equity,"Consumer, Non-cyclical",28.79395734
ADS UN Equity,Communications,30.23428185
ADSK UW Equity,Technology,160.7481541
ADT UN Equity,"Consumer, Non-cyclical",18.30958684
AEE UN Equity,Utilities,17.02074708
AEP UN Equity,Utilities,16.04069776
AES UN Equity,Utilities,10.85009611
AET UN Equity,"Consumer, Non-cyclical",16.20844517
AFL UN Equity,Financial,9.985096562
AGN UN Equity,"Consumer, Non-cyclical",37.49895625
AIG UN Equity,Financial,11.34949053
AIV UN Equity,Financial,17.88675261
AIZ UN Equity,Financial,10.24044492
AKAM UW Equity,Technology,38.00957233
ALL UN Equity,Financial,12.79567509
ALLE UN Equity,Industrial,26.76826384
ALTR UW Equity,Technology,23.47368441
ALXN UW Equity,"Consumer, Non-cyclical",53.34318697
AMAT UW Equity,Technology,22.49774673
AME UN Equity,Industrial,21.51917687
AMG UN Equity,Financial,26.21865373
AMGN UW Equity,"Consumer, Non-cyclical",20.8623202
AMP UN Equity,Financial,16.26682648
AMT UN Equity,Financial,48.16051849
AMZN UW Equity,Communications,#N/A N/A
AN UN Equity,"Consumer, Cyclical",17.47439615
ANTM UN Equity,"Consumer, Non-cyclical",16.54161284
AON UN Equity,Financial,20.24250747
APA UN Equity,Energy,140.7362252
APC UN Equity,Energy,21.184987
APD UN Equity,Basic Materials,25.75329256
APH UN Equity,Industrial,15.06533898
ARG UN Equity,Basic Materials,23.713115
ATI UN Equity,Basic Materials,94.23603449
AVB UN Equity,Financial,33.56988267
AVGO UW Equity,Technology,50.17588949
AVP UN Equity,"Consumer, Non-cyclical",11.43154057
AVY UN Equity,"Consumer, Non-cyclical",17.00852495
AXP UN Equity,Financial,15.91368634
AZO UN Equity,"Consumer, Cyclical",19.42661076
BA UN Equity,Industrial,20.77741916
BAC UN Equity,Financial,11.3507776
BAX UN Equity,"Consumer, Non-cyclical",17.12526326
BBBY UW Equity,"Consumer, Cyclical",15.10224918
BBT UN Equity,Financial,13.64951314
BBY UN Equity,"Consumer, Cyclical",15.64419434
BCR UN Equity,"Consumer, Non-cyclical",22.18995512
BDX UN Equity,"Consumer, Non-cyclical",23.11605578
